cluster_id,application_id,start_time,end_time,app_number
1485248649253,application_1485248649253_0121,2017-06-08T13:19:49.000Z,2017-06-08T14:23:34.000Z,0121
1485248649253,application_1485248649253_0132,2017-06-08T18:53:13.000Z,2017-06-08T22:49:01.000Z,0132
1485248649253,application_1485248649253_0129,2017-06-08T16:07:04.000Z,2017-06-08T17:00:50.000Z,0129
1485248649253,application_1485248649253_0146,2017-06-09T19:17:08.000Z,2017-06-09T20:01:54.000Z,0146
1485248649253,application_1485248649253_0137,2017-06-09T11:08:20.000Z,2017-06-09T14:05:01.000Z,0137
1485248649253,application_1485248649253_0136,2017-06-09T10:30:01.000Z,2017-06-09T11:20:50.000Z,0136
1485248649253,application_1485248649253_0139,2017-06-09T15:30:53.000Z,2017-06-09T16:09:08.000Z,0139
1485248649253,application_1485248649253_0134,2017-06-09T09:38:32.000Z,2017-06-09T10:20:09.000Z,0134
1485248649253,application_1485248649253_0131,2017-06-08T17:14:12.000Z,2017-06-08T18:02:49.000Z,0131
1485248649253,application_1485248649253_0141,2017-06-09T16:36:24.000Z,2017-06-09T17:07:24.000Z,0141
1485248649253,application_1485248649253_0124,2017-06-08T14:38:50.000Z,2017-06-08T15:09:51.000Z,0124
1485248649253,application_1485248649253_0111,2017-06-08T10:26:16.000Z,2017-06-08T10:53:05.000Z,0111
1485248649253,application_1485248649253_0110,2017-06-08T10:03:53.000Z,2017-06-08T10:29:24.000Z,0110
1485248649253,application_1485248649253_0144,2017-06-09T17:31:13.000Z,2017-06-09T19:08:29.000Z,0144
1485248649253,application_1485248649253_0117,2017-06-08T11:25:56.000Z,2017-06-08T11:47:47.000Z,0117
1485248649253,application_1485248649253_0149,2017-06-09T20:59:43.000Z,2017-06-09T22:28:08.000Z,0149
1485248649253,application_1485248649253_0148,2017-06-09T20:24:06.000Z,2017-06-09T21:05:46.000Z,0148
1485248649253,application_1485248649253_0140,2017-06-09T16:15:44.000Z,2017-06-09T16:35:11.000Z,0140
1485248649253,application_1485248649253_0142,2017-06-09T16:56:04.000Z,2017-06-09T17:46:29.000Z,0142
1485248649253,application_1485248649253_0135,2017-06-09T10:20:18.000Z,2017-06-09T10:41:03.000Z,0135
1485248649253,application_1485248649253_0147,2017-06-09T20:10:40.000Z,2017-06-09T20:39:06.000Z,0147
1485248649253,application_1485248649253_0002,2017-02-01T11:58:08.000Z,2017-02-02T03:30:45.000Z,0002
1485248649253,application_1485248649253_0109,2017-06-08T09:59:00.000Z,2017-06-08T10:12:44.000Z,0109
1485248649253,application_1485248649253_0138,2017-06-09T15:02:32.000Z,2017-06-09T15:26:59.000Z,0138
1485248649253,application_1485248649253_0120,2017-06-08T12:06:47.000Z,2017-06-08T12:29:43.000Z,0120
1485248649253,application_1485248649253_0108,2017-06-08T09:42:42.000Z,2017-06-08T10:04:46.000Z,0108
1485248649253,application_1485248649253_0130,2017-06-08T16:55:15.000Z,2017-06-08T17:21:58.000Z,0130
1485248649253,application_1485248649253_0089,2017-06-06T21:27:33.000Z,2017-06-06T21:42:09.000Z,0089
1485248649253,application_1485248649253_0064,2017-04-13T19:41:24.000Z,2017-04-13T20:49:17.000Z,0064
1485248649253,application_1485248649253_0066,2017-04-13T20:40:33.000Z,2017-04-13T21:13:42.000Z,0066
1474351042505,application_1474351042505_2578,2016-11-18T22:30:06.000Z,2016-11-19T00:59:04.000Z,2578
1460011102909,application_1460011102909_0176,2016-07-26T11:54:20.000Z,2016-07-26T12:19:25.000Z,0176
1485248649253,application_1485248649253_0128,2017-06-08T15:43:03.000Z,2017-06-08T16:04:40.000Z,0128
1485248649253,application_1485248649253_0100,2017-06-07T15:40:55.000Z,2017-06-07T16:01:59.000Z,0100
1485248649253,application_1485248649253_0125,2017-06-08T15:08:48.000Z,2017-06-08T15:25:53.000Z,0125
1485248649253,application_1485248649253_0106,2017-06-07T16:51:10.000Z,2017-06-07T17:09:24.000Z,0106
1485248649253,application_1485248649253_0133,2017-06-09T09:12:49.000Z,2017-06-09T09:28:15.000Z,0133
1485248649253,application_1485248649253_0107,2017-06-07T17:00:58.000Z,2017-06-07T17:20:52.000Z,0107
1485248649253,application_1485248649253_0099,2017-06-07T15:29:35.000Z,2017-06-07T15:50:16.000Z,0099
1485248649253,application_1485248649253_0145,2017-06-09T18:57:18.000Z,2017-06-09T19:19:05.000Z,0145
1485248649253,application_1485248649253_0127,2017-06-08T15:40:53.000Z,2017-06-08T15:56:29.000Z,0127
1485248649253,application_1485248649253_0030,2017-03-16T17:46:33.000Z,2017-03-16T20:33:32.000Z,0030
1485248649253,application_1485248649253_0105,2017-06-07T16:41:45.000Z,2017-06-07T17:01:01.000Z,0105
1485248649253,application_1485248649253_0104,2017-06-07T16:37:02.000Z,2017-06-07T16:54:11.000Z,0104
1485248649253,application_1485248649253_0043,2017-03-27T19:34:24.000Z,2017-03-27T20:08:45.000Z,0043
1485248649253,application_1485248649253_0170,2017-06-10T15:22:59.000Z,2017-06-10T15:40:14.000Z,0170
1485248649253,application_1485248649253_0126,2017-06-08T15:24:33.000Z,2017-06-08T15:47:00.000Z,0126
1485248649253,application_1485248649253_0116,2017-06-08T11:00:28.000Z,2017-06-08T11:18:42.000Z,0116
1485248649253,application_1485248649253_0103,2017-06-07T16:21:21.000Z,2017-06-07T16:38:28.000Z,0103
1485248649253,application_1485248649253_0097,2017-06-07T15:03:51.000Z,2017-06-07T15:23:51.000Z,0097
1485248649253,application_1485248649253_0158,2017-06-10T15:04:03.000Z,2017-06-10T15:22:13.000Z,0158
1485248649253,application_1485248649253_0115,2017-06-08T10:55:30.000Z,2017-06-08T11:13:43.000Z,0115
1485248649253,application_1485248649253_0098,2017-06-07T15:11:08.000Z,2017-06-07T15:30:38.000Z,0098
1485248649253,application_1485248649253_0167,2017-06-10T15:18:05.000Z,2017-06-10T15:35:11.000Z,0167
1485248649253,application_1485248649253_0169,2017-06-10T15:21:18.000Z,2017-06-10T15:38:52.000Z,0169
1485248649253,application_1485248649253_0119,2017-06-08T11:54:33.000Z,2017-06-08T12:07:56.000Z,0119
1485248649253,application_1485248649253_0042,2017-03-27T14:28:01.000Z,2017-03-27T15:18:26.000Z,0042
1485248649253,application_1485248649253_0050,2017-03-28T18:00:09.000Z,2017-03-28T18:43:08.000Z,0050
1485248649253,application_1485248649253_0171,2017-06-10T15:24:53.000Z,2017-06-10T15:48:46.000Z,0171
1485248649253,application_1485248649253_0166,2017-06-10T15:16:28.000Z,2017-06-10T15:34:02.000Z,0166
1485248649253,application_1485248649253_0044,2017-03-28T11:11:56.000Z,2017-03-28T11:39:47.000Z,0044
